Responder_id,LanguagesWorkedWith
1,Assembly
2,Java;Python;C#
3,VBA
4,Java;Rust;C
5,Ruby;TypeScript;C
6,SQL;C;Python;Bash/Shell/PowerShell;PHP;Rust;Java
7,JavaScript;R;Java;Python;VBA;Other(s)
8,C++;Ruby;VBA;Go;JavaScript;Assembly;Bash/Shell/PowerShell
9,TypeScript;C++;PHP;R;Python
10,Go;TypeScript;Java;Rust;C++
11,Go;VBA;JavaScript;SQL;C;Bash/Shell/PowerShell
12,PHP;VBA;C#;Go;Ruby;C++
13,Assembly;VBA;PHP
14,Bash/Shell/PowerShell;Rust
15,HTML/CSS;VBA;C++;PHP;SQL
16,Other(s);TypeScript
17,Rust;C++;VBA;Assembly;Java;JavaScript;Python
18,R;C#;Python;Rust;Bash/Shell/PowerShell;Assembly;HTML/CSS
19,HTML/CSS;Other(s);Rust
20,HTML/CSS;VBA;PHP
21,Go;C#;HTML/CSS;R
22,C++;JavaScript;HTML/CSS;PHP
23,PHP;TypeScript;C++;SQL;HTML/CSS;Rust;JavaScript
24,JavaScript;C#
25,Assembly;Python;VBA
26,Rust;Other(s);SQL
27,C#;Go;HTML/CSS;PHP
28,HTML/CSS
29,Bash/Shell/PowerShell;JavaScript
30,TypeScript;Bash/Shell/PowerShell;Go;C++;Other(s);HTML/CSS
31,Assembly;Other(s);R
32,SQL;VBA
33,Other(s);R;Go;Java;Python;TypeScript
34,Python;Assembly;C++;PHP
35,C++
36,Java;JavaScript;Python
37,SQL
38,TypeScript;R;C;Bash/Shell/PowerShell
39,Assembly;Bash/Shell/PowerShell;HTML/CSS
40,HTML/CSS;Bash/Shell/PowerShell;Assembly;Rust
41,JavaScript;VBA;Bash/Shell/PowerShell;Python
42,C++;TypeScript;Rust
43,Other(s);JavaScript;Rust
44,VBA;PHP;HTML/CSS;Go;R
45,PHP;Other(s);C++;C#;Python;JavaScript;Rust
46,Bash/Shell/PowerShell
47,R;Bash/Shell/PowerShell;PHP
48,SQL;HTML/CSS;C
49,C;R;Ruby;JavaScript;TypeScript
50,JavaScript
51,PHP;SQL;HTML/CSS
52,C#;SQL;Java;Ruby
53,TypeScript;Ruby;JavaScript;Assembly;Other(s)
54,Java;Rust;JavaScript;Python;C;SQL;PHP
55,Rust;TypeScript;HTML/CSS;C;C++;VBA;PHP
56,SQL;PHP
57,Other(s);PHP
58,Bash/Shell/PowerShell;R;PHP
59,C;C++;TypeScript;VBA;Ruby;JavaScript
60,Python;Go;R;TypeScript;C#;PHP;VBA
61,TypeScript;Python
62,VBA;C#
63,TypeScript;VBA
64,SQL;Go;JavaScript;Other(s);HTML/CSS
65,Java;JavaScript;C++;Assembly;Ruby
66,Go;Java;C;VBA
67,Java
68,Ruby;Other(s);C#;Go
69,C;Ruby;PHP;JavaScript;HTML/CSS
70,SQL;TypeScript;VBA;Ruby
71,Java;Assembly;Go
72,Other(s);TypeScript;HTML/CSS;Bash/Shell/PowerShell;C++;R
73,C#
74,HTML/CSS;C++;JavaScript;C#;TypeScript;PHP
75,Ruby;Bash/Shell/PowerShell
76,C++;SQL;JavaScript;C;TypeScript
77,Rust;Other(s);VBA;PHP
78,C#;SQL;VBA;C;Go
79,JavaScript
80,C;HTML/CSS;SQL;Go;Bash/Shell/PowerShell;C++
81,Go
82,Bash/Shell/PowerShell;Go;Assembly;C#;HTML/CSS;TypeScript
83,Rust;Java;Python;Bash/Shell/PowerShell;C#;R
84,C#;Ruby;Rust;Python
85,Java;Rust;Other(s);HTML/CSS;C#;Go;TypeScript
86,C#;Bash/Shell/PowerShell;C;VBA;C++;Java;Rust
87,Ruby;JavaScript;SQL
88,TypeScript
89,C
90,Ruby;Rust
91,Assembly;Bash/Shell/PowerShell;Go
92,Bash/Shell/PowerShell;C
93,C++;Assembly;Java;C;VBA;R;Rust
94,Go;JavaScript;PHP;Other(s)
95,SQL
96,PHP;C#
97,JavaScript
98,Ruby
